G002697825	2	1293497	1293498	1293499	407032	35800	2024844
G002699025	2	1224	28221	29	1055686	1055688	2024858
G002700365	2	1224	28211	362534	1331809	288021	1970157
G002702965	2	203682	203683	112	126	0	2026779
G002704345	2	1224	28211	356	119043	0	2026785
G002704825	2	203682	666505	666506	666507	0	2026777
G002705565	2	1224	28211	204441	2066434	489140	2024832
G002706265	2	1224	1236	1775403	568386	1274363	2024852
G002706985	2	1224	28211	510684	510685	510690	1964365
G002707155	2	976	117743	200644	1853230	0	2026728
G002707985	2	1224	28211	204457	41297	13687	28214
G002708345	2	203682	203683	112	126	0	2026779
G002711695	2	1224	28216	80840	506	305976	1979962
G002712105	2	134625	1921781	1921782	1921783	0	2026752
G002714255	2	1224	1236	1692040	1692041	0	2024893
G002715745	2	1224	1236	135613	1738654	0	2026806
G002723235	2	1224	1236	1706369	1706375	0	2026793
G002726315	2	201174	84992	84993	84994	0	2024894
G002726375	2	1224	28211	204455	31989	367771	2024839
G002729715	2	1224	1236	1692040	1692041	0	2024893
G002729955	2	1224	1236	742030	742031	180541	1914330
G002731975	2	1224	1236	118969	118968	0	2026727
G002732675	2	1224	28211	510684	510685	510690	1964365
G002733565	2	1224	1236	135622	267891	58050	78556
G002733575	2	203682	203683	2691354	2691357	265487	2024826
G002733605	2	1224	28211	204455	69657	437506	2030823
G002738205	2	1224	1236	135619	224379	0	2048971
G002746365	2	1224	1236	72273	135617	0	2030882
G002763895	2	1090	191410	191411	191412	1091	2033588
G002779915	2	1224	29547	213849	72293	202746	1975546
G002786175	2	204428	204429	1963360	92713	83551	2052048
G002786205	2	1224	1236	118969	444	445	459
G002792475	2	1224	1236	72273	135616	0	1974073
G002796835	2	1117	0	1890424	2303507	2108438	2108439
G002796975	2	1224	28211	204441	41295	1231242	1917215
G002813895	2	1117	0	1118	1890452	102234	2054282
G002835445	2	1239	91061	1385	90964	1279	1280
G002868985	2	1224	28221	213118	213119	0	2049433
G002869335	2	976	200643	1970189	1970190	0	2053305
G002869635	2	1224	28221	69541	213421	890	892
G002869945	2	1224	1236	91347	1903410	122277	554
G002877975	2	1224	28221	213113	117942	33001	79269
G002878035	2	200783	187857	32069	224027	212790	2053621
G002878065	2	200930	68337	191393	191394	545865	477976
G002890585	2	976	200643	171549	2005525	195950	712711
G002895405	2	201174	1760	85010	2070	65496	2072503
G002919105	2	1239	186801	186802	539000	73918	1937527
G002964685	2	1224	1236	135622	267888	53246	2077098
G002991565	2	1224	1236	135614	32033	40323	69392
G003013295	2	544448	31969	186328	33925	46238	214888
G003023745	2	1239	186801	186802	539000	28033	53633
G003123995	2	1224	1236	135623	641	662	2007197
G003132105	2	1239	186801	186802	186807	79206	157907
G003134375	2	74201	203494	48461	134621	0	2052186
G003140235	2	57723	204432	204433	204434	0	2052142
G003151515	2	74201	414999	415000	134623	0	2006848
G003154895	2	1224	28211	356	45404	184923	2004513
G003155655	2	1134404	795747	795748	1334117	1134403	2052167
G003159795	2	201174	84992	84993	84994	0	2024894
G003164635	2	57723	204432	204433	204434	0	2052142
G003165415	2	57723	533205	574975	574976	0	2052165
G003165815	2	1224	28221	213462	213468	0	2052184
G003168115	2	1224	28211	204441	433	0	1909293
G003232595	2	1224	28211	356	255475	0	1978523
G003241005	2	201174	1760	85006	85020	43668	43669
G003241225	2	1224	1236	135622	267890	22	70863
G003241485	2	1224	28211	356	335928	152053	921
G003241845	2	1117	0	1890424	1890438	47251	268115
G003242115	2	1117	0	1890424	1890438	1005722	268141
G003242265	2	1239	186801	186802	715221	715222	551788
G003242625	2	200795	189775	85001	85002	2056	2057
G003243425	2	1224	28221	29	39	47	48
G003246255	2	201174	1760	85006	1042322	577469	431489
G003248485	2	1224	1236	72273	34064	262	2047875
G003248805	2	1224	28211	356	2036754	28209	1953771
G003248915	2	1224	28216	206389	2008794	33057	1905334
G003249015	2	1117	0	1890424	1890436	1152	1153
G003249035	2	1117	0	1890424	1890436	1152	1153
G003249095	2	1117	0	1890424	1890430	283821	2164131
G003261315	2	1117	0	1161	1892263	0	2109628
G003290465	2	200295	2315419	2315420	2315421	2315418	2250252
G003327425	2	1817810	2419830	0	2419832	2419833	2268124
G003369455	2	2698788	2698789	2698803	2698813	2698819	2291675
G003370465	2	1224	1236	135619	1920240	261963	2283595
G003445605	2	1239	186801	186802	543314	0	2060925
G003446085	2	1239	1737404	1737405	1737406	41273	41274
G003447855	2	1224	28211	204457	335929	1041	1042
G003448685	2	1117	0	1150	1892249	43988	2055757
G003450595	2	201174	1760	85006	1268	57493	1871328
G003452015	2	200930	68337	191393	191394	0	2053543
G003454485	2	1239	91061	186826	186828	99906	1872447
G003454625	2	1239	91061	1385	186817	484508	1898027
G003456695	2	976	1853228	1853229	563835	0	1869212
G003476965	2	1224	1236	72274	135621	286	306
G003482695	2	1239	186801	186802	543313	0	2060927
G003483885	2	976	768503	768507	1937962	0	2053581
G003497475	2	201174	1760	85007	85029	37914	1871616
G003499925	2	1224	28221	69541	213422	28231	46610
G003506195	2	200918	188708	2419	188709	1643951	2033661
G003506435	2	976	200643	1970189	1471398	0	2053594
G003506635	2	1224	28211	255473	255474	208215	1979207
G003507845	2	1224	1236	91347	1903409	551	55211
G003509305	2	1224	28221	213118	213121	0	2053307
G003512365	2	976	117743	200644	1853230	0	2026728
G003512625	2	200795	32061	189772	189773	64	71864
G003513175	2	976	200643	1970189	558415	0	2053574
G003514585	2	1239	186801	186802	2304686	2304692	1515
G003516265	2	1224	28211	204455	31989	97050	1879320
G003516665	2	1297	188787	118964	183710	1298	1299
G003518825	2	200783	187857	32069	224027	182899	2060922
G003521095	2	1239	91061	186826	186827	0	2053495
