Rank	Taxon	Count
genus	713	2
genus	724	22
genus	745	2
genus	768	25
genus	773	60
genus	776	5
genus	780	19
genus	810	79
genus	816	53
genus	830	37
genus	832	12
genus	836	16
genus	838	84
genus	841	7
genus	843	1
genus	846	2
genus	848	18
genus	862	6
genus	866	2
genus	869	1
genus	872	36
genus	890	4
genus	893	6
genus	896	2
genus	898	2
genus	904	6
genus	906	7
genus	911	2
genus	914	19
genus	919	3
genus	933	11
genus	936	1
genus	939	2
genus	943	6
genus	953	10
genus	958	9
genus	963	7
genus	965	3
genus	970	16
genus	978	2
genus	992	1
genus	1007	2
genus	1011	1
genus	1013	1
genus	1016	17
genus	1021	3
genus	1023	1
genus	1030	5
genus	1033	6
genus	1041	12
genus	1051	2
genus	1056	1
genus	1060	8
genus	1068	1
genus	1073	8
genus	1081	3
genus	1091	7
genus	1099	2
genus	1101	1
genus	1107	5
genus	1111	5
genus	1123	2
genus	1125	21
genus	1129	47
genus	1142	9
genus	1152	4
genus	1154	2
genus	1158	3
genus	1163	4
genus	1175	1
genus	1177	7
genus	1186	4
genus	1190	8
genus	1198	2
genus	1203	3
genus	1205	2
genus	1214	3
genus	1218	51
genus	1222	1
genus	1227	3
genus	1232	1
genus	1234	4
genus	1237	25
genus	1243	16
genus	1253	9
genus	1257	3
genus	1263	34
genus	1266	1
genus	1269	1
genus	1279	39
genus	1298	21
genus	1301	61
genus	1350	27
genus	1357	3
genus	1370	2
genus	1372	3
genus	1375	5
genus	1378	3
genus	1380	19
genus	1386	150
genus	1485	118
genus	1562	11
genus	1569	5
genus	1573	1
genus	1578	245
genus	1637	21
genus	1645	1
genus	1647	3
genus	1649	4
genus	1651	1
genus	1654	41
genus	1663	19
genus	1678	32
genus	1696	7
genus	1707	14
genus	1716	130
genus	1730	29
genus	1740	6
genus	1743	3
genus	1754	5
genus	1763	61
genus	1813	8
genus	1817	30
genus	1827	13
genus	1835	3
genus	1839	18
genus	1847	7
genus	1849	3
genus	1851	9
genus	1854	9
genus	1860	2
genus	1862	1
genus	1865	7
genus	1873	3
genus	1883	115
genus	1988	5
genus	1995	1
genus	1998	1
genus	2000	2
genus	2005	2
genus	2013	15
genus	2016	1
genus	2019	1
genus	2023	6
genus	2029	1
genus	2034	4
genus	2038	1
genus	2040	6
genus	2044	1
genus	2050	8
genus	2053	19
genus	2056	1
genus	2060	2
genus	2063	6
genus	2071	4
genus	2077	3
genus	2093	6
genus	2132	14
genus	2147	10
genus	2160	13
genus	2172	13
genus	2175	7
genus	2179	1
genus	2184	6
genus	2192	2
genus	2195	1
genus	2202	1
genus	2204	1
genus	2207	51
genus	2220	5
genus	2222	5
genus	2225	5
genus	2233	17
genus	2237	4
genus	2239	3
genus	2249	7
genus	2251	5
genus	2256	1
genus	2260	8
genus	2263	27
genus	2268	4
genus	2270	5
genus	2273	5
genus	2276	8
genus	2279	2
genus	2284	80
genus	2289	3
genus	2295	1
genus	2299	2
genus	2302	2
genus	2308	2
genus	2314	1
genus	2316	2
genus	2319	1
genus	2321	1
genus	2330	7
genus	2335	14
genus	2349	1
genus	2351	1
genus	2357	1
genus	2368	1
genus	2370	2
genus	2373	1
genus	2375	1
genus	2383	5
genus	2420	2
genus	2422	3
genus	2425	7
genus	2433	6
genus	2697	2
genus	2701	5
genus	2713	1
genus	2717	2
genus	2723	2
genus	2733	1
genus	2735	2
genus	2737	1
genus	2740	1
genus	2742	16
genus	2745	21
genus	2747	11
genus	2753	3
genus	2755	2
genus	12914	2
genus	12916	7
genus	12960	3
genus	13034	1
genus	13075	1
genus	13134	3
genus	13275	1
genus	13334	1
genus	13687	34
genus	13724	1
genus	28033	1
genus	28048	1
genus	28050	1
genus	28065	2
genus	28067	1
genus	28073	1
