genome	kingdom	phylum	class	order	family	genus	species
G000017705	2	1224	1236	135623	641	662	680
G000017785	2	1224	1236	72273	34064	262	263
G000017805	2	200795	32061	32064	1508635	120961	120962
G000017845	2	1117	0	1150	1892249	43988	43989
G000017865	2	200918	188708	2419	188709	1643951	177758
G000017945	2157	28889	183924	114380	2272	54258	160233
G000018025	2	1224	1236	135622	267890	22	271097
G000018105	2	1117	0	1890424	1890429	155977	155978
G000018145	2	1224	28211	204455	31989	309512	215813
G000018205	2	1224	28211	766	775	780	786
G000018245	2	1224	28211	766	775	780	33990
G000018265	2	201174	1760	85008	28056	168694	168697
G000018285	2	1224	1236	135622	267890	22	70864
G000018305	2157	28889	183924	2266	2267	76886	76887
G000018325	2	1239	186801	186802	31979	114627	461876
G000018365	2157	28890	183968	2258	2259	2263	342948
G000018405	2	1224	28221	213118	213119	896	181663
G000018425	2	1239	186801	186802	186807	471826	471827
G000018465	2157	651137	0	31932	338190	338191	338192
G000018485	2157	28890	183939	2182	2183	2184	39152
G000018545	2	1224	28211	356	82115	28105	380
G000018565	2	200795	32061	189772	189773	64	65
G000018605	2	200918	188708	1643947	0	28236	69499
G000018665	2	1224	28216	80840	80864	80865	80866
G000018685	2	1239	186801	186802	186803	1506553	66219
G000018785	2	544448	31969	186329	2146	2147	2148
G000018865	2	200795	32061	32064	1106	1107	1108
G000018885	2	201174	1760	85006	1268	1645	1646
G000018945	2	200918	188708	2419	188709	2335	2337
G000019165	2	1239	186801	186802	31984	2697	35701
G000019205	2	1224	29547	213849	72294	194	201
G000019225	2	1224	1236	1706369	1706371	10	155077
G000019285	2	1224	1236	72273	34064	262	28110
G000019365	2	1224	28211	356	119045	407	426117
G000019405	2	1224	1236	135625	712	214906	731
G000019485	2	1117	0	1890424	1890426	1129	32049
G000019525	2	1224	1236	135622	267890	22	60961
G000019605	2157	51967	0	0	0	498845	498846
G000019665	2	74201	1955630	717963	717964	511745	511746
G000019685	2	203691	203692	136	1643685	138	40834
G000019705	2	203691	203692	136	1643685	138	44449
G000019725	2	1224	28211	356	119045	407	31998
G000019745	2	1224	28216	80840	119060	44013	576610
G000019785	2	1224	28216	80840	0	88	34029
G000019805	2157	28889	183924	2266	2267	2276	70771
G000019845	2	1224	28211	356	45404	532	533
G000019905	2	1239	91061	1385	0	33986	332410
G000019945	2	1224	28211	356	119045	407	223967
G000019965	2	74201	414999	415000	134623	178440	107709
G000020005	2	1239	186801	485256	485255	375928	375929
G000020025	2	1117	0	1161	1162	1177	272131
G000020045	2	1224	28216	80840	119060	1822464	148447
G000020145	2	74152	641853	641854	641876	423604	423605
G000020165	2	1239	186801	186802	31979	1485	1491
G000020205	2	1224	28216	80840	119060	48736	329
G000020225	2	74201	203494	48461	1647988	239934	239935
G000020305	2	1224	28211	766	942	768	770
G000020365	2	1224	28221	213118	213119	2295	2296
G000020385	2	1224	28221	69541	213422	28231	313985
G000020465	2	1090	191410	191411	191412	1091	1092
G000020485	2	1239	186801	53433	972	32636	31909
G000020505	2	1090	191410	191411	191412	256319	274539
G000020525	2	1090	191410	191411	191412	100715	100716
G000020545	2	1090	191410	191411	191412	1091	1096
G000020565	2	976	768503	768507	1501348	281119	281120
G000020605	2	1239	186801	186802	186803	0	39491
G000020625	2	1090	191410	191411	191412	1101	1102
G000020645	2	1090	191410	191411	191412	1099	34090
G000020685	2	1297	188787	118964	183710	1298	310783
G000020725	2	1224	28221	69541	213422	28231	225194
G000020785	2	200783	187857	32069	64898	168657	380749
G000020905	2157	28889	183924	114380	2272	2273	477693
G000020945	2	1239	186801	68295	227387	68335	35786
G000020965	2	68297	203486	203487	203488	13	14
G000020985	2	40117	203693	189778	189779	28261	28262
G000021025	2	1224	28216	206351	1499392	168470	168471
G000021045	2	1224	1236	72274	135621	352	354
G000021285	2	200918	188708	2419	1643950	2420	2421
G000021325	2	1224	28211	204441	433	89583	33996
G000021385	2	1224	28221	213115	194924	872	881
G000021485	2	1224	1807140	225057	225058	119977	920
G000021545	2	200783	187857	32069	224027	212790	309806
G000021565	2	200783	187857	32069	224027	182899	309805
G000021645	2	68297	203486	203487	203488	13	513050
G000021685	2	200795	189775	189776	189777	499	500
G000021705	2	1224	1236	91347	543	568987	138072
G000021725	2	1224	29547	235899	224467	191291	244787
G000021745	2	1224	28211	356	45404	120652	199596
G000021805	2	1117	0	1150	1892249	43988	41431
G000021825	2	1117	0	1150	1892249	43988	65393
G000021865	2	1224	28211	204455	31989	1060	1061
G000021885	2	1224	1236	135625	712	724	738
G000021905	2	1224	28221	213118	213119	218207	259354
G000021925	2	1239	186801	186802	186807	36853	49338
G000021945	2	200795	32061	32064	1106	1107	152260
G000021965	2157	28890	224756	2191	1198451	475087	475088
G000021985	2	1224	1236	135613	72276	106633	1033854
G000022005	2	1224	28211	204458	76892	75	155892
