taxon	dist	rank
28211	0.176773	class
213121	0.249585	family
117743	0.273138	class
1963360	0.273138	order
2	0.00179001	kingdom
68298	0.273138	family
2	0.00179001	kingdom
57723	0.273138	phylum
191411	0.277311	order
263369	0.277311	family
263369	0.277311	family
1236	0.00566812	class
414999	0.277311	class
2	0.00179001	kingdom
2	0.00179001	kingdom
85002	0.277311	family
2	0.00179001	kingdom
1224	0.0238972	phylum
57723	0.273138	phylum
2691354	0.277311	order
203683	0.282127	class
74201	0.233995	phylum
28216	0.0529431	class
2	0.00179001	kingdom
28211	0.176773	class
2	0.00179001	kingdom
780	0.282127	genus
2132	0.282127	genus
559293	0.282127	genus
1914233	0.282127	family
2	0.00179001	kingdom
69657	0.282127	family
2	0.00179001	kingdom
186802	0.108059	order
1706371	0.287825	family
510690	0.287825	genus
563835	0.263187	family
2	0.00179001	kingdom
68298	0.273138	family
2093	0.287825	genus
1914233	0.282127	family
976	0.000163619	phylum
171549	0.182856	order
2	0.00179001	kingdom
2	0.00179001	kingdom
2259	0.086704214	family
186802	0.108059	order
2	0.00179001	kingdom
28211	0.176773	class
53434	0.294798	family
2	0.00179001	kingdom
189775	0.294798	class
2	0.00179001	kingdom
2	0.00179001	kingdom
2	0.00179001	kingdom
2691354	0.277311	order
74201	0.233995	phylum
1224	0.0238972	phylum
213483	0.303787	family
213483	0.303787	family
203682	0.260468	phylum
2	0.00179001	kingdom
2	0.00179001	kingdom
1032526	0.303787	genus
1239	0.00527053	phylum
1239	0.00527053	phylum
2	0.00179001	kingdom
2	0.00179001	kingdom
2	0.00179001	kingdom
2	0.00179001	kingdom
2	0.00179001	kingdom
1239	0.00527053	phylum
