,Taxonomic_rank,Taxon,Reference_genome_in_phylum,Distance_to_closest,Precision,Recall,F1,Method
240,genus,1224,2975,0.0,0.9999699698198242,0.9989949747245188,0.9994772345214586,Kraken-II
241,order,1224,2975,0.0,0.9999999998499467,0.9996400016500457,0.9998149683696537,Kraken-II
242,phylum,1224,2975,0.0,0.9999999998499804,0.9998650005250176,0.9999274956560112,Kraken-II
243,species,1224,2975,0.0,0.9999699698198242,0.9989949747245188,0.9994772345214586,Kraken-II
244,kingdom,1224,2975,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,Kraken-II
245,class,1239,1948,0.0718104,0.9881613970512862,0.6396463118742977,0.7765903880940075,Kraken-II
246,family,1239,1948,0.0718104,0.9502142081469294,0.6253408104124828,0.7542788980315885,Kraken-II
247,genus,1239,1948,0.0718104,0.9514835603208915,0.6243770313226471,0.7539762260882938,Kraken-II
248,order,1239,1948,0.0718104,0.9630081393908169,0.6307266860300005,0.762223566394963,Kraken-II
249,phylum,1239,1948,0.0718104,0.9936664646314751,0.6427291210719588,0.7805624461697637,Kraken-II
250,species,1239,1948,0.0718104,0.0,0.0,0.0,Kraken-II
251,kingdom,1239,1948,0.0718104,0.9997911491426006,0.6463440246262497,0.7851179172041498,Kraken-II
252,class,1239,1948,0.0,0.9416292434789657,0.02204998798034577,0.043090475275337596,Kraken-II
253,family,1239,1948,0.0,0.9407979347439,0.021960195265195614,0.04291813513160977,Kraken-II
254,genus,1239,1948,0.0,0.9189189128614442,0.02094854532024697,0.04096281770381336,Kraken-II
255,order,1239,1948,0.0,0.9396274827255782,0.02197587610262781,0.042946859989889896,Kraken-II
256,phylum,1239,1948,0.0,0.9999999998499354,0.999565002025055,0.999777453646669,Kraken-II
257,species,1239,1948,0.0,0.8972648372430632,0.02022161080988354,0.03955141269620624,Kraken-II
258,kingdom,1239,1948,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,Kraken-II
259,class,1239,1948,0.0,0.8589341603037183,0.0123549570113096,0.02435924567168092,Kraken-II
260,family,1239,1948,0.0,0.8268215329797093,0.011773904934848967,0.023216921062658397,Kraken-II
261,genus,1239,1948,0.0,0.8354700765441231,0.011757100113999202,0.02318761641439041,Kraken-II
262,order,1239,1948,0.0,0.8581932682962892,0.012279805204671465,0.02421286865522758,Kraken-II
263,phylum,1239,1948,0.0,0.9999999998499332,0.999550002100057,0.999769950364367,Kraken-II
264,species,1239,1948,0.0,0.8481561730134906,0.011754625939580226,0.023187620451226135,Kraken-II
265,kingdom,1239,1948,0.0,0.9999999998500007,0.9999999998500007,0.9999949998750005,Kraken-II
266,class,28889,167,0.518015074,0.4352409605780048,0.008768602938730736,0.017190482039814155,Kraken-II
267,family,28889,167,0.518015074,0.0,0.0,0.0,Kraken-II
268,genus,28889,167,0.518015074,0.0,0.0,0.0,Kraken-II
269,order,28889,167,0.518015074,0.12920908277831572,0.0025169704824167536,0.004937379545893878,Kraken-II
270,phylum,28889,167,0.518015074,0.4202586176705559,0.008882477982252888,0.017396846733583844,Kraken-II
271,species,28889,167,0.518015074,0.0,0.0,0.0,Kraken-II
272,kingdom,28889,167,0.518015074,0.5006369394863889,0.011930239969046606,0.023304661482538607,Kraken-II
273,class,201174,1097,0.0419139,0.9946016748710749,0.7547857518254709,0.8582511457696991,Kraken-II
274,family,201174,1097,0.0419139,0.9497289698956577,0.7372784937211042,0.8301215126330589,Kraken-II
275,genus,201174,1097,0.0419139,0.9484554740269375,0.7356951203145364,0.8286312676138419,Kraken-II
276,order,201174,1097,0.0419139,0.9538819375694012,0.7390743702923742,0.8328455079921588,Kraken-II
277,phylum,201174,1097,0.0419139,0.9944453259414288,0.7550875923365888,0.8583880041245886,Kraken-II
278,species,201174,1097,0.0419139,0.0,0.0,0.0,Kraken-II
279,kingdom,201174,1097,0.0419139,0.9996045865955704,0.7586237939054085,0.8625950067957316,Kraken-II
280,class,1117,295,0.00117749,0.9868214003227589,0.9912608667713446,0.9890311517869297,Kraken-II
