,Taxonomic_Rank,Taxon,Reference_Count,Distance_to_closest,Precision,Recall,F1,Method
175,class,28889,167,0.051437191,0.999231684914436,0.3902801325805692,0.5613157987978313,Kraken-II (4Gb)
176,family,28889,167,0.051437191,0.9992310054601542,0.3899350307755885,0.5609586729149515,Kraken-II (4Gb)
177,genus,28889,167,0.051437191,0.9988449539911274,0.389318246561322,0.5602594343698504,Kraken-II (4Gb)
178,order,28889,167,0.051437191,0.9992312419283398,0.3900550661860166,0.561082910721177,Kraken-II (4Gb)
179,phylum,28889,167,0.051437191,0.9990781636262424,0.39030355770443953,0.5613157984195762,Kraken-II (4Gb)
180,species,28889,167,0.051437191,0.4212355206933906,0.052645970716962205,0.0935925345330397,Kraken-II (4Gb)
181,superkingdom,28889,167,0.051437191,0.9992320684229642,0.39047519012251486,0.5615175741608625,Kraken-II (4Gb)
182,class,651137,49,0.185317881,0.8340920544557813,0.02485717300157416,0.0482750981282755,Kraken-II (4Gb)
183,family,651137,49,0.185317881,0.8362068923113241,0.02485529964656106,0.04827509950741535,Kraken-II (4Gb)
184,genus,651137,49,0.185317881,0.7168803380508529,0.02029121368972115,0.03946482951181745,Kraken-II (4Gb)
185,order,651137,49,0.185317881,0.8340920544557813,0.02485717300157416,0.0482750981282755,Kraken-II (4Gb)
186,phylum,651137,49,0.185317881,0.9369797822553317,0.03554459613346596,0.0684902635537974,Kraken-II (4Gb)
187,species,651137,49,0.185317881,0.0,0.0,0.0,Kraken-II (4Gb)
188,superkingdom,651137,49,0.185317881,0.930763174937989,0.03558376321072269,0.0685462174788195,Kraken-II (4Gb)
189,class,28890,407,0.120344429,0.9829406946265609,0.03632270168310353,0.07005590796810363,Kraken-II (4Gb)
190,family,28890,407,0.120344429,0.9506172800386119,0.034712308588709884,0.06697816824843113,Kraken-II (4Gb)
191,genus,28890,407,0.120344429,0.7747136157203495,0.027609773795268872,0.053318652733789364,Kraken-II (4Gb)
192,order,28890,407,0.120344429,0.9829406946265609,0.03632270168310353,0.07005590796810363,Kraken-II (4Gb)
193,phylum,28890,407,0.120344429,0.9866558795525439,0.03661794278647268,0.07061444295055452,Kraken-II (4Gb)
194,species,28890,407,0.120344429,0.0,0.0,0.0,Kraken-II (4Gb)
195,superkingdom,28890,407,0.120344429,0.9858642932719535,0.03663404970034907,0.07064236055529682,Kraken-II (4Gb)
196,class,28889,167,0.009329546,0.9999999998151331,0.8113909429235767,0.8958711720076856,Kraken-II (4Gb)
197,family,28889,167,0.009329546,0.9999999998150785,0.8111509441236067,0.8957248627608084,Kraken-II (4Gb)
198,genus,28889,167,0.009329546,0.9999999998142265,0.8074309627240717,0.8934521008532954,Kraken-II (4Gb)
199,order,28889,167,0.009329546,0.9999999998150989,0.8112409436735954,0.8957797332721276,Kraken-II (4Gb)
200,phylum,28889,167,0.009329546,0.9999999998151331,0.8113909429235767,0.8958711720076856,Kraken-II (4Gb)
